Nome;Sobrenome;Data de Nascimento;Idade
Aarão;Mederos;24/06/1967
Aarão;Natal;13/11/1978
Aarão;Veiga;18/10/1973
Abel;Belchior;21/04/1978
Abel;Capucho;21/11/1979
Abel;Martínez;08/02/1995
Abel;Sobral;06/09/1970
Abigail;Aleixo;21/08/1964
Abigail;Boaventura;07/08/1988
Abigail;Fonseca;23/07/1994
Abigail;Pacheco;24/07/1961
Abigail;Siebra;13/05/1975
Abigail;Valim;06/07/1987
Abraão;Belén;04/01/1994
Abraão;Borba;09/05/1965
Abraão;Cerveira;05/09/1982
Abraão;Collares;04/09/1964
Abraão;Gutiérrez;07/02/1986
Abraão;Imperial;17/01/1972
Abraão;Miera;12/01/1986
Abraão;Quintal;04/03/1991
Abraão;Vergueiro;17/09/2000
Abílio;Carlos;11/07/1982
Abílio;Duarte;23/02/1998
Abílio;Ferreyra;03/10/1994
Acacio;Cotrim;10/10/1984
Acacio;Grillo;04/07/1985
Acacio;Guedes;10/02/1987
Acacio;Álvares;22/06/1985
Adalberto;Amorim;12/04/1972
Adalberto;Guilheiro;09/02/1989
Adalberto;Raposo;21/12/1964
Adalberto;Sintra;19/05/1968
Adalberto;Valiente;15/07/1971
Adalberto;Vega;24/12/1967
Adelaide;Coelho;12/11/1990
Adelaide;Falcão;21/09/1997
Adelaide;Moraes;22/02/1990
Adelaide;Souto Maior;10/06/1969
Adelina;Camargo;20/04/1971
Adelina;Ferrão;24/09/1998
Adelina;Gago;08/09/1996
Adelina;Goes;09/09/1995
Adelina;Guará;18/01/1978
Adelina;Lopes;20/11/1961
Adelina;Mourão;06/09/1972
Adelina;Varejão;06/09/1973
Adelino;Brandán;15/07/1965
Adelino;Gago;25/06/1990
Adelino;Isla;23/03/1993
Adelino;Malafaia;21/04/1986
Adelino;Matoso;19/10/1992
Adelino;Melo;02/06/1986
Adelino;Perdigão;10/05/1969
Adelino;Prado;17/07/1991
Adelino;Suárez;13/10/1985
Adolfo;Acevedo;04/10/1993
Adolfo;Amorim;10/04/1986
Adolfo;Cabral;19/07/1962
Adolfo;Caires;11/07/1980
Adolfo;Castaño;03/08/1984
Adolfo;Dornelles;23/11/1991
Adolfo;Melo;18/10/1980
Adosindo;Aleixo;11/06/1961
Adosindo;Azeredo;02/01/1995
Adosindo;Macieira;22/03/1994
Adosindo;Monjardim;17/02/1986
Adosindo;Patrício;09/03/1995
Adriana;Alcaide;17/04/2000
Adriana;Barra;09/12/1964
Adriana;Carrasqueira;24/04/1976
Adriana;Cisneros;24/05/1985
Adriana;Cortês;11/06/2000
Adriana;Piñero;23/03/1988
Adriana;Remígio;05/06/1977
Adriana;Villena;11/06/1999
Adriano;Belchior;16/11/1966
Adriano;Sobral;03/09/1972
Adão;Afonso;23/11/1971
Adão;Araripe;02/10/1998
Adão;Bentes;24/01/1967
Adão;Caldas;13/06/1988
Adão;Cantanhede;03/10/1963
Adão;Vasconcelos;01/03/1997
Adélia;Belchiorinho;09/08/1972
Adélia;Cardozo;19/09/1990
Adélia;Costa;23/07/2000
Adélia;Freyria;20/08/1993
Adélia;Marañón;21/03/1990
Adélia;Mendoça;22/05/1987
Adélia;Menezes;24/12/1996
Adélia;Naves;07/12/1997
Adélia;Nazário;07/08/1990
Adélia;Valadares;06/04/1984
Adélio;Bicudo;03/11/1981
Adélio;Bulhão;16/03/1971
Adélio;Curado;22/06/1967
Adélio;Gracia;25/08/1975
Adélio;Lima;06/03/1998
Adélio;Prada;14/02/1965
Adélio;Teixeira;18/04/1973
Adérito;Lages;18/10/1964
Adérito;Menezes;12/01/1970
Adérito;Monte;16/02/1979
Adérito;Valerio;14/02/1999
Adérito;Varanda;03/06/1983
Afonso;Dorneles;22/11/1996
Afonso;Nobre;08/10/1994
Afonso;Pirassununga;01/01/1968
Afonso;Reyes;05/11/1989
Afonso;Siebra;23/12/1962
Afonso;Tabalipa;12/02/1962
Agostinho;Cairu;11/03/1994
Agostinho;Castillo;18/09/1980
Aguinaldo;Amorim;16/02/1983
Aguinaldo;Quintais;02/07/1993
Aguinaldo;Silvestre;15/03/1973
